,State,# of Sundown Town,Geography,Population,Code,normalized # of Sundown Towns,State Code,Region
0,WI,241,Wisconsin,5822434.0,WI,4.139162419015827e-05,WI,Midwest
1,IN,271,Indiana,6732219.0,IN,4.0254186621082883e-05,IN,Midwest
2,AR,88,Arkansas,3017804.0,AR,2.916027681055496e-05,AR,South
3,KS,80,Kansas,2913314.0,KS,2.7460136463148153e-05,KS,Midwest
4,IL,340,Illinois,12671821.0,IL,2.6831187088264583e-05,IL,Midwest
5,MO,98,Missouri,6137428.0,MO,1.596760076044884e-05,MO,Midwest
6,OH,168,Ohio,11689100.0,OH,1.4372363997228188e-05,OH,Midwest
7,IA,44,Iowa,3155070.0,IA,1.3945807858462729e-05,IA,Midwest
8,MI,139,Michigan,9986857.0,MI,1.391829281224313e-05,MI,Midwest
9,NE,26,Nebraska,1934408.0,NE,1.3440804628599551e-05,NE,Midwest
10,OK,53,Oklahoma,3956971.0,OK,1.3394083504781814e-05,OK,South
11,KY,59,Kentucky,4467673.0,KY,1.3205979936311365e-05,KY,South
12,VT,7,Vermont,623989.0,VT,1.1218146473735915e-05,VT,Northeast
13,MT,11,Montana,1068778.0,MT,1.029212801910219e-05,MT,West
14,NH,13,New Hampshire,1359711.0,NH,9.560855211144133e-06,NH,Northeast
15,WV,17,West Virginia,1792147.0,WV,9.485829008446293e-06,WV,South
16,WY,5,Wyoming,578759.0,WY,8.639174509597258e-06,WY,West
17,CT,30,Connecticut,3565287.0,CT,8.414469858948242e-06,CT,Northeast
18,SD,6,South Dakota,884659.0,SD,6.782274300041033e-06,SD,Midwest
19,OR,25,Oregon,4217737.0,OR,5.927349192232707e-06,OR,West
20,ME,7,Maine,1344212.0,ME,5.207511910323669e-06,ME,Northeast
21,TX,119,Texas,28995881.0,TX,4.104031189809339e-06,TX,South
22,MN,23,Minnesota,5639632.0,MN,4.078280284954763e-06,MN,Midwest
23,TN,24,Tennessee,6829174.0,TN,3.5143342372005752e-06,TN,South
24,MS,10,Mississippi,2976149.0,MS,3.360046825612562e-06,MS,South
25,ID,6,Idaho,1787065.0,ID,3.3574604169406263e-06,ID,West
26,PA,42,Pennsylvania,12801989.0,PA,3.2807402037292797e-06,PA,Northeast
27,UT,10,Utah,3205958.0,UT,3.1191924535505458e-06,UT,West
28,NJ,27,New Jersey,8882190.0,NJ,3.0397908623886676e-06,NJ,Northeast
29,MD,18,Maryland,6045680.0,MD,2.9773325746648845e-06,MD,South
30,NY,54,New York,19453561.0,NY,2.775841399937009e-06,NY,Northeast
31,CA,109,California,39512223.0,CA,2.7586400289348437e-06,CA,West
32,AL,13,Alabama,4903185.0,AL,2.6513378548841214e-06,AL,South
33,ND,2,North Dakota,762062.0,ND,2.6244583774023637e-06,ND,Midwest
34,MA,18,Massachusetts,6892503.0,MA,2.6115331397026595e-06,MA,Northeast
35,NC,22,North Carolina,10488084.0,NC,2.0976185926809892e-06,NC,South
36,DE,2,Delaware,973764.0,DE,2.0538857464436967e-06,DE,South
37,WA,15,Washington,7614893.0,WA,1.9698241327882087e-06,WA,West
38,SC,10,South Carolina,5148714.0,SC,1.942232565258043e-06,SC,South
39,NM,4,New Mexico,2096829.0,NM,1.907642444853634e-06,NM,West
40,RI,2,Rhode Island,1059361.0,RI,1.8879305543624884e-06,RI,Northeast
41,CO,10,Colorado,5758736.0,CO,1.736492174671664e-06,CO,West
42,LA,8,Louisiana,4648794.0,LA,1.720876425154567e-06,LA,South
43,NV,5,Nevada,3080156.0,NV,1.6232944045691191e-06,NV,West
44,VA,12,Virginia,8535519.0,VA,1.405889905464448e-06,VA,South
45,AZ,10,Arizona,7278717.0,AZ,1.373868499077516e-06,AZ,West
46,GA,13,Georgia,10617423.0,GA,1.2244025692486774e-06,GA,South
47,FL,18,Florida,21477737.0,FL,8.380771214397494e-07,FL,South
